Experiment,Split,NormalizedDCGEvaluator
exp00000,0,0.003320208200061693
exp00000,1,0.003320208200061693
exp00000,2,0.003320208200061693
exp00000,3,0.003320208200061693
exp00000,4,0.003320208200061693
