Experiment,neighborhood-size,shrinkage,AUCEvaluator
exp00000,50.0,10.0,0.5016033978649083
exp00001,100.0,10.0,0.5016033978649083
exp00002,50.0,15.0,0.5016033978649083
exp00003,100.0,15.0,0.5016033978649083
